Date,Sessions
22-Nov-22,257
23-Nov-22,206
24-Nov-22,175
25-Nov-22,155
26-Nov-22,151
27-Nov-22,138
28-Nov-22,252
29-Nov-22,216
30-Nov-22,290
1-Dec-22,299
2-Dec-22,288
3-Dec-22,259
4-Dec-22,138
5-Dec-22,267
6-Dec-22,246
7-Dec-22,292
8-Dec-22,249
9-Dec-22,153
10-Dec-22,127
11-Dec-22,106
12-Dec-22,174
13-Dec-22,187
14-Dec-22,171
15-Dec-22,186
16-Dec-22,131
17-Dec-22,127
18-Dec-22,94
19-Dec-22,144
20-Dec-22,141
21-Dec-22,152
22-Dec-22,155
23-Dec-22,146
24-Dec-22,95
25-Dec-22,72
26-Dec-22,130
27-Dec-22,143
28-Dec-22,182
29-Dec-22,200
30-Dec-22,213
31-Dec-22,151
